fid,Id,codig,POINT_X,POINT_Y,UCS_F,pH,N,MO,K,Ca,Mg,CIC,P,Fe,Mn,Zn,Cu,S,B,Ar,L,A,Clasif,Al,asnm,C,Cobertura,Tipo_Cober,dem1,dem_aspect1,dem_aspect_slope1
116,0,116,882641.301101,1086711.56594,SEef1,4.9,0.62,17.6,0.1,0.1,0.15,32,13,121,25,1.3,3.2,4.6,0.1,22,26,52,FrancoArcillosoArenoso,1.5,1933.14208984,8.4,Eucalipto,Silvopastoril,1932.57922363281,29.4980087280273,17.7265949249268
117,0,117,882611.301101,1086741.56594,SEef1,5.1,0.62,17.8,0.14,0.07,0.23,30,16,195,19,4.3,2.1,6.5,0.1,20,26,54,FrancoArenoso,1.3,1932.86889648,8.4,Eucalipto,Silvopastoril,1931.9345703125,7.10710906982422,17.5463447570801
118,0,118,882551.301101,1086741.56594,SEef1,5.3,0.63,17.9,0.32,0.95,1.23,31,12,162,44,5.8,3.1,2.9,0.12,22,22,56,FrancoArcillosoArenoso,0.9,1940.06567383,8.5,Ganadería,Pasturas,1937.77856445312,28.3740234375,15.9407997131348
119,0,119,882671.301101,1086741.56594,SEef1,5,0.51,13.3,0.14,1.04,0.29,25,22,78,59,3.9,3.3,4.1,0.05,22,26,52,FrancoArcillosoArenoso,1,1917.64367676,7.2,Eucalipto,Silvopastoril,1922.07495117188,67.5894393920898,15.5077877044678
120,0,120,882461.301101,1086771.56594,SIde,5.3,0.62,17.6,0.29,0.52,0.41,32,15,184,24,5,2.4,2.1,0.02,20,28,52,FrancoArenoso,1,1934.46813965,8.4,rastrojo,Bosque,1934.65930175781,354.826141357422,15.3873319625854
121,0,121,882341.301101,1086771.56594,SIde,5.4,0.64,18.5,0.22,0.35,0.24,35,14,114,28,4.1,2.3,3.1,0.22,20,28,52,FrancoArenoso,1.2,1938.34082031,8.6,rastrojo,Bosque,1939.271484375,323.492004394531,24.3295650482178
122,0,122,882551.301101,1086801.56594,GAef1,5.2,0.62,17.6,0.24,1.38,0.46,31,14,290,36,9.2,4.8,4.4,0.12,20,32,48,Franco,0.9,1923.39428711,8.4,Ganadería,Pasturas,1923.72412109375,35.5955390930176,10.7834558486938
123,0,123,882611.301101,1086801.56594,GAef1,5,0.6,17,0.15,0.11,0.29,31,14,144,31,3.1,3.4,3.6,0.1,20,24,56,FrancoArenoso,1.2,1914.84533691,8.2,Eucalipto,Silvopastoril,1916.31018066406,50.1164741516113,16.1464710235596
124,0,124,882731.301101,1086771.56594,GAef1,4.9,0.6,17,0.15,0.08,0.17,27,16,135,24,3,2.4,1.8,0.11,22,26,52,FrancoArcillosoArenoso,1.7,1896.13745117,8.2,Eucalipto,Silvopastoril,1898.20849609375,38.9468727111816,24.8462181091309
125,0,125,882791.301101,1086771.56594,GAef1,5.1,0.58,16,0.1,0.09,0.15,31,17,103,27,2.6,2.5,2.1,0.1,22,26,52,FrancoArcillosoArenoso,1.2,1883.02282715,7.9,Guadua_Nativo,Bosque,1894.14770507812,4.29620361328125,29.8448448181152
126,0,126,882701.301101,1086831.56594,GAef1,5,0.6,16.8,0.17,0.07,0.26,29,12,125,40,4.3,2.4,2,0.1,24,20,56,FrancoArcillosoArenoso,1.1,1887.28015137,8.2,Eucalipto,Silvopastoril,1892.79284667969,63.1257858276367,19.728515625
127,0,127,882611.301101,1086861.56594,GAef1,5.1,0.65,19.2,0.16,0.1,0.21,32,17,137,28,3.3,2.3,9.7,0.31,20,24,56,FrancoArenoso,1.6,1902.33776855,8.8,Eucalipto,Silvopastoril,1903.25720214844,20.7274856567383,12.4621391296387
128,0,128,882551.301101,1086831.56594,GAef1,5.2,0.55,14.8,0.21,0.42,0.33,26,13,196,27,6.1,2.8,1.9,0.05,20,28,52,FrancoArenoso,1.1,1919.58239746,7.6,Eucalipto,Silvopastoril,1918.64892578125,18.1514892578125,13.60755443573
129,0,129,882461.301101,1086831.56594,SIde,5.3,0.59,16.4,0.13,0.23,0.25,29,15,202,12,4.7,2.1,3.3,0.03,18,26,56,FrancoArenoso,0.9,1927.29443359,8,Pino_patula,Silvopastoril,1925.84985351562,27.3995971679688,9.52765941619873
130,0,130,882401.301101,1086891.56594,SIde,5.8,0.44,11,0.34,4.83,0.9,30,11,148,29,56.2,5.8,2.5,0.07,10,32,58,FrancoArenoso,0.2,1929.99926758,6.5,rastrojo,Bosque,1927.31237792969,19.7125625610352,9.76404666900635
131,0,131,882371.301101,1086921.56594,SIde,5.6,0.5,13.2,0.19,4.04,0.73,30,14,151,37,92.8,17.2,6.2,0.1,18,26,56,FrancoArenoso,0.3,1930.24536133,7.1,rastrojo,Bosque,1925.30932617188,49.3056640625,8.10747337341309
132,0,132,882311.301101,1086891.56594,SIde,5.5,0.45,11.4,0.15,1.4,0.45,26,16,148,24,18.7,4.1,3.9,0.14,18,28,54,FrancoArenoso,0.4,1918.1126709,6.6,Guadua_Nativo,Bosque,1919.80505371094,261.825256347656,11.8171396255493
133,0,133,882431.301101,1086981.56594,SIde,5.7,0.48,12.3,0.18,1.25,0.42,30,9,130,19,10,2.8,3.4,0.18,16,28,56,FrancoArenoso,0.3,1919.62927246,6.7,cultivo,Agricola,1914.11584472656,13.7250671386719,16.4361381530762
134,0,134,882491.301101,1086891.56594,GAef1,5.2,0.68,20.5,0.24,0.04,0.21,34,20,167,8,4,1.5,3.2,0.08,20,24,56,FrancoArenoso,1.8,1913.53161621,9.2,Guadua_Nativo,Bosque,1912.95043945312,35.4655914306641,11.1470355987549
135,0,135,882551.301101,1086921.56594,GAef1,5.2,0.65,19.1,0.2,0.43,0.41,35,19,186,23,11.8,4.1,10.8,0.04,22,20,58,FrancoArcillosoArenoso,1.2,1905.17651367,8.8,Bosque,Bosque,1901.84020996094,8.77531433105469,12.1940097808838
136,0,136,882611.301101,1086951.56594,GAef1,5.1,0.65,19.1,0.16,0.32,0.3,33,22,256,8,3.7,2.1,3.5,0.71,22,22,56,FrancoArcillosoArenoso,1.2,1886.98632813,8.9,Ganadería,Pasturas,1886.95727539062,37.4620895385742,15.546763420105
137,0,137,882671.301101,1086951.56594,GAef1,5.2,0.63,18.1,0.16,0.27,0.33,33,8,249,17,3.6,2.6,2,0.04,22,26,52,FrancoArcillosoArenoso,1.1,1874.99707031,8.5,Guadua,Bosque,1878.12744140625,10.0230941772461,20.9110240936279
138,0,138,882611.301101,1087041.56594,GAef1,5.2,0.61,17.2,0.17,0.94,0.42,31,15,145,26,2.9,1.7,1.3,0.05,18,24,58,FrancoArenoso,1,1870.94470215,8.3,Eucalipto,Silvopastoril,1869.5615234375,44.0715484619141,24.6003589630127
139,0,139,882521.301101,1087011.56594,GAef1,4.9,0.62,17.5,0.15,0.16,0.24,32,19,190,11,3.3,2.7,5.6,0.07,20,28,52,FrancoArenoso,1.1,1893.68566895,8.2,Platano,Agricola,1892.61999511719,46.3168678283691,14.8283176422119
140,0,140,882431.301101,1087041.56594,SIde,5.2,0.69,21,0.21,0.07,0.26,36,19,167,11,4.5,1.5,3.5,0.06,22,23,56,FrancoArcillosoArenoso,1.4,1908.2833252,9.4,Eucalipto,Silvopastoril,1903.73376464844,124.899742126465,2.7841591835022
141,0,141,882431.301101,1087131.56594,GAef1,5.2,0.65,19,0.15,0.1,0.17,33,11,142,10,3.4,1.3,3.3,0.11,20,24,56,FrancoArenoso,1.1,1881.00976563,8.8,Eucalipto,Silvopastoril,1880.52880859375,68.033821105957,16.0720596313477
142,0,142,882551.301101,1087131.56594,GAef1,5,0.67,20,0.21,0.09,0.21,36,19,128,10,3.3,1.7,2.8,0.05,20,24,56,FrancoArenoso,1.9,1862.6418457,9.1,Eucalipto,Silvopastoril,1864.25952148438,13.3815078735352,20.60032081604
143,0,143,882611.301101,1087161.56594,GAef1,5,0.64,18.7,0.17,1.11,0.32,36,13,90,27,2.5,1.3,2.3,0.06,22,20,58,FrancoArcillosoArenoso,1.4,1841.08740234,8.7,rastrojo,Bosque,1841.79638671875,62.2705841064453,26.7071876525879
144,0,144,882701.301101,1087071.56594,GAef1,4.9,0.6,16.7,0.22,0.92,0.46,27,80,149,32,6.6,2.1,3.4,0.07,24,20,56,FrancoArcillosoArenoso,1.4,1832.48583984,8.1,rastrojo,Bosque,1837.77770996094,49.9122009277344,21.002368927002
145,0,145,882551.301101,1087071.56594,GAef1,5,0.66,19.4,0.25,0.7,0.41,29,19,198,37,10.3,3,3.4,0.27,22,26,52,FrancoArcillosoArenoso,1.3,1876.61804199,8.9,Eucalipto,Silvopastoril,1874.11596679688,89.3656845092773,26.6883239746094
